City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
84,Upernavik,GL,72.79,-56.15,41.05,84,91,11.03,overcast clouds
85,Pirapemas,BR,-3.73,-44.22,83.55,40,0,1.05,clear sky
86,Qingdao,CN,36.1,120.37,80.6,88,75,11.18,moderate rain
87,Karpathos,GR,35.51,27.21,77.0,83,0,24.16,clear sky
88,Carnarvon,AU,-24.87,113.63,53.6,100,0,3.36,clear sky
89,Salcininkai,LT,54.3,25.38,57.99,100,75,11.41,heavy intensity rain
90,Hasaki,JP,35.73,140.83,77.0,94,75,9.17,broken clouds
91,Coquimbo,CL,-29.95,-71.34,59.0,67,2,14.99,clear sky
92,Skorodnoye,RU,51.07,37.23,69.8,49,0,6.71,clear sky
93,Ostrovnoy,RU,68.05,39.51,44.62,86,28,7.7,scattered clouds
94,Yellowknife,CA,62.46,-114.35,53.6,58,40,12.75,scattered clouds
95,Husavik,IS,66.04,-17.34,51.8,81,90,13.87,light intensity drizzle
96,Kurilsk,RU,45.23,147.88,52.07,75,92,6.42,overcast clouds
97,Missoula,US,47.02,-113.8,75.2,15,20,16.11,few clouds
98,Xining,CN,36.62,101.77,48.2,81,43,1.77,scattered clouds
99,Lompoc,US,34.64,-120.46,70.0,64,1,11.41,clear sky
100,Chapais,CA,49.78,-74.85,57.2,54,75,9.17,broken clouds
101,Tautira,PF,-17.73,-149.15,82.4,54,20,10.29,few clouds
102,Awbari,LY,26.59,12.78,88.25,17,0,7.47,clear sky
103,Strezhevoy,RU,60.73,77.59,59.0,93,97,4.47,overcast clouds
104,Champerico,GT,14.3,-91.92,91.4,59,40,9.17,scattered clouds
105,Inuvik,CA,68.35,-133.72,50.0,66,90,3.36,overcast clouds
106,Kavieng,PG,-2.57,150.8,83.8,75,98,14.0,overcast clouds
107,Aklavik,CA,68.22,-135.01,50.0,66,90,3.36,overcast clouds
108,Seoul,KR,37.57,126.98,77.0,78,90,4.68,overcast clouds
109,Kargasok,RU,59.06,80.86,54.64,94,97,6.64,overcast clouds
110,Mulege,MX,26.88,-111.98,90.52,53,14,10.04,few clouds
111,Qaanaaq,GL,77.48,-69.36,31.8,82,0,3.91,clear sky
112,Bathsheba,BB,13.22,-59.52,84.2,79,40,17.22,scattered clouds
113,Samarai,PG,-10.62,150.67,78.93,87,81,19.66,light rain
114,Mnogovershinnyy,RU,53.94,139.92,49.86,66,59,5.99,broken clouds
115,Komsomolskiy,UZ,40.43,71.72,73.4,49,0,6.93,clear sky
116,Pangody,RU,65.85,74.49,41.2,88,41,7.76,scattered clouds
117,Bereda,ES,43.27,-7.54,53.01,96,8,4.45,clear sky
118,Thompson,CA,55.74,-97.86,53.6,93,90,9.17,light rain
119,Zyryanka,RU,65.75,150.85,50.52,48,42,4.36,scattered clouds
120,Chokurdakh,RU,70.63,147.92,43.0,77,88,8.57,overcast clouds
121,Erzin,TR,36.96,36.2,80.01,86,0,1.01,clear sky
122,Rocha,UY,-34.48,-54.33,40.6,70,72,6.04,broken clouds
123,Castro,BR,-24.79,-50.01,65.84,63,0,3.22,clear sky
124,Krasnovishersk,RU,60.41,57.08,52.12,96,97,4.12,light rain
125,Burlington,US,39.88,-74.64,78.8,41,20,6.93,few clouds
126,Coahuayana,MX,18.73,-103.68,75.2,83,90,4.25,mist
127,Voyvozh,RU,62.89,54.96,49.32,98,100,6.51,light rain
128,Nemuro,JP,43.32,145.57,55.02,82,100,17.78,overcast clouds
129,Touros,BR,-5.2,-35.46,77.0,73,0,9.17,clear sky
130,Kaeo,NZ,-35.1,173.78,57.0,3,13,3.0,few clouds
131,Chipinge,ZW,-20.19,32.62,61.9,90,41,5.61,scattered clouds
132,Sikonge,TZ,-5.63,32.77,71.6,46,5,6.93,clear sky
133,Longyan,CN,25.11,117.02,73.56,86,0,2.53,clear sky
134,Saldanha,ZA,-33.01,17.94,41.0,80,0,2.24,clear sky
135,Jalalabad,AF,34.43,70.45,84.51,56,54,1.59,moderate rain
136,Batagay-Alyta,RU,67.8,130.41,48.22,59,99,2.37,overcast clouds
137,Kahului,US,20.89,-156.47,89.6,46,40,21.92,scattered clouds
138,Takaka,NZ,-40.85,172.8,57.0,76,18,10.0,few clouds
139,Havoysund,NO,71.0,24.66,44.6,75,20,17.22,few clouds
140,Naze,JP,28.37,129.48,84.2,83,75,16.11,broken clouds
141,Fairfield,US,41.27,-73.32,77.0,38,1,10.29,clear sky
