City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
247,Ipora,BR,79.21,clear sky,-16.44,-51.12,Oásis Motel
254,Dakar,SN,84.2,scattered clouds,14.69,-17.44,Novotel Dakar
257,Lafiagi,NG,75.04,moderate rain,8.87,5.42,EMI SONMASUN BINDOFUL LAFIAGI
261,Shingu,JP,78.78,broken clouds,33.73,135.98,Shingu UI Hotel
263,Repelon,CO,89.6,scattered clouds,10.49,-75.13,Hospedaje El Mejor Punto
265,Liku,ID,75.79,overcast clouds,-0.73,119.89,Agoes Liverpool
266,Karaton,ID,80.01,haze,-6.34,106.1,Parkir Mobil Wisata CAS Water Park
268,Tema,GH,77.0,broken clouds,5.67,-0.02,Beulah Royale
269,Katsuura,JP,84.0,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
284,Biak,ID,76.84,overcast clouds,-0.91,122.88,Kost Ariz
286,Kralendijk,BQ,84.2,overcast clouds,12.15,-68.27,Divi Flamingo Beach Resort & Casino
287,Havelock,US,84.99,light rain,34.88,-76.9,Sherwood Motel
292,Pierre,US,84.2,clear sky,44.37,-100.35,Ramkota Hotel
296,Ixtapa,MX,84.2,overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
298,Santa Rosa,US,88.0,clear sky,34.68,-80.78,Palmetto pines development
300,Zorgo,BF,76.01,light rain,12.25,-0.62,Auberge Peng-Wende De Zorgho
304,Buluang,PH,79.57,light rain,13.31,123.34,Enon Beach Resort
317,Russell,US,89.6,thunderstorm,32.35,-85.2,Macs
320,Najran,SA,80.6,overcast clouds,17.49,44.13,محمد هادي ال فطيح
323,Kousseri,CM,77.0,thunderstorm,12.08,15.03,Résidence le Palmier
326,Kavaratti,IN,81.93,broken clouds,10.57,72.64,Bismillah Hotel And Lodging
330,Manta,EC,80.6,few clouds,-0.95,-80.73,Balandra Hotel
331,Jalu,LY,83.25,clear sky,29.03,21.55,Jalu Hotel
332,Pumiao,CN,80.6,clear sky,22.75,108.48,Mushang Boutique Hotel
335,Bairiki,KI,86.0,few clouds,1.33,172.98,Tarawa Boutique Hotel
337,Riyadh,SA,82.4,scattered clouds,24.69,46.72,InterContinental Riyadh
338,Lorengau,PG,82.35,light rain,-2.02,147.27,Lorengau Harbourside Hotel
340,Kirakira,SB,83.48,overcast clouds,-10.45,161.92,SanBiz Lodge
345,Eureka,US,75.99,clear sky,40.8,-124.16,Eureka Inn Trademark By Wyndham
348,Mazagao,BR,80.6,broken clouds,-0.12,-51.29,Casa Lima Santos
353,Gonc,HU,75.2,scattered clouds,48.47,21.28,Tök-Jó Vendégház
356,Tateyama,JP,84.99,overcast clouds,34.98,139.87,Tateyama Seaside Hotel
358,Galeana,MX,80.15,light rain,24.83,-100.07,Albergue Rural Juvenil Galeana
363,Namie,JP,77.0,moderate rain,37.48,141.0,いこいの村なみえ(福島県)
365,Washington,US,80.01,clear sky,47.5,-120.5,"Cashmere Cider Mill Guest Suites, Weddings & Tasting Room"
369,Winnemucca,US,87.8,clear sky,40.97,-117.74,Winners Inn Casino
372,Esmeraldas,BR,77.0,scattered clouds,-19.76,-44.31,Hotel Fazenda Lagoa Azul
382,Bilgoraj,PL,79.0,scattered clouds,50.54,22.72,Dodo
383,Nouakchott,MR,84.2,scattered clouds,18.09,-15.98,Hôtel Iman
384,Nicoya,CR,78.8,scattered clouds,10.15,-85.45,Guayacan Real
386,Kijang,KR,78.8,broken clouds,35.24,129.21,Brown Dot Gijang Yeonhwari
387,Zhanakorgan,KZ,75.24,clear sky,43.91,67.25,"""Ақпалас"" қонақ үйі"
389,Quelimane,MZ,75.2,clear sky,-17.88,36.89,Hotel Flamingo
392,Gamay,PH,79.61,light rain,12.39,125.3,Marcela's Bed &Breakfast
394,Bandarbeyla,SO,76.51,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
396,Dabhoi,IN,76.53,moderate rain,22.18,73.43,Machhiwad
399,Pangai,TO,80.6,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
401,Martinez,US,89.01,clear sky,38.02,-122.13,Best Western John Muir Inn
402,Bonthe,SL,76.64,light rain,7.53,-12.51,Bonthe Holiday Village
403,Baoying,CN,75.72,light rain,33.23,119.31,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
405,Mehran,IR,77.0,clear sky,33.12,46.16,بوتیک زنانه بهار
406,Chai Nat,TH,78.28,overcast clouds,15.19,100.12,Chainatthani Hotel
409,Nimaparha,IN,82.4,haze,20.07,86.02,Maa Karanjai Sweet And Hotel 🏨
416,Pascagoula,US,87.8,broken clouds,30.37,-88.56,Regency Inn
417,Gaoyou,CN,81.0,light rain,32.79,119.43,Shangri-La Hotel
421,Itatiba,BR,84.2,clear sky,-23.01,-46.84,Orion Hotel JWF Itatiba
424,Westport,US,78.01,clear sky,41.14,-73.36,The Westport Inn
429,Bajil,YE,89.37,broken clouds,15.06,43.29,فندق الصقر السياحي
432,Coari,BR,83.28,light rain,-4.08,-63.14,HOTEL ALEX FLAT
437,Alyangula,AU,80.6,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
440,Alexandria,EG,80.6,scattered clouds,31.22,29.96,Royal Crown Hotel
441,Clearwater,US,78.8,heavy intensity rain,27.97,-82.8,Shephard's Beach Resort
443,Vanimo,PG,79.36,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
445,Trincomalee,LK,79.72,overcast clouds,8.57,81.23,Welcombe Hotel
446,Buraydah,SA,89.6,clear sky,26.33,43.98,Mövenpick Hotel Qassim
447,Galle,LK,80.49,light rain,6.04,80.22,CocoBay Unawatuna
451,Tukrah,LY,75.83,clear sky,32.53,20.58,استراحة لاقروتا
453,Aracati,BR,78.64,clear sky,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
455,Dingle,PH,76.98,overcast clouds,11.0,122.67,Camp Pasica
460,Luziania,BR,84.2,overcast clouds,-16.25,-47.95,HOTEL SARON ÁGUAS CLARAS
461,Kutum,SD,77.77,broken clouds,14.2,24.67,Dibbo areaمنطقة دبو
463,Eydhafushi,MV,82.62,light rain,5.1,73.07,Soneva Fushi
